smiles,mol_wt,logp,tpsa
CN(C)c1cc(-c2ccc(-c3cc(C4([S@](C)(=N)=O)CC4)nc4c3cnn4C3=NN=CC3)cc2)on1,488.5770000000003,4.121070000000003,125.62
CN(C)c1cc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)[nH]n1,496.57500000000016,3.719500000000002,116.81000000000002
CN(C)c1cc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)n[nH]1,496.57500000000016,3.719500000000002,116.81
CN(C)c1cc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)no1,497.5590000000002,3.9844000000000026,114.16000000000001
CN(C)c1cc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)on1,497.5590000000002,3.9844000000000026,114.16000000000001
CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,345.432,1.79907,99.59
CN(C)c1cc(N(C)C)nc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)n1,466.5750000000002,2.32207,128.61
CN(C)c1cc(Nc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)no1,427.49400000000014,2.5306700000000006,137.65
CN(C)c1cc(Nc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)on1,427.49400000000014,2.5306700000000006,137.65
CN(C)c1cc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)[nH]n1,435.4920000000001,2.1290999999999998,128.83999999999997
CN(C)c1cc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)n[nH]1,435.4920000000001,2.1290999999999998,128.84
